Time,Actual,Predicted,Error
2023-12-31 19:00:00,0.638754714285,0.6612453813346008,-0.022490667049600788
2023-12-31 19:15:00,1.007276381191,0.6521027193271294,0.35517366186387056
2023-12-31 19:30:00,0.5261295209610001,0.9816870209518339,-0.45555749999083384
2023-12-31 19:45:00,0.6600439450220001,0.6025617601635758,0.05748218485842438
2023-12-31 20:00:00,0.41491043109400005,0.6212737924968701,-0.20636336140287004
2023-12-31 20:15:00,0.5279850314450001,0.46741057146346987,0.060574459981530215
2023-12-31 20:30:00,0.305932633959,0.5524182196164941,-0.24648558565749407
2023-12-31 20:45:00,0.277941618071,0.39141900563673504,-0.11347738756573506
2023-12-31 21:00:00,0.27639796834299996,0.3663163454962374,-0.08991837715323747
2023-12-31 21:15:00,0.298366397797,0.3663163454962374,-0.0679499476992374
2023-12-31 21:30:00,0.30830656206299994,0.3816190714537792,-0.07331250939077927
2023-12-31 21:45:00,0.289617193321,0.38370834387258496,-0.09409115055158496
2023-12-31 22:00:00,0.29007188217400004,0.374391164459587,-0.08431928228558694
2023-12-31 22:15:00,0.31170698542899994,0.374391164459587,-0.06268417903058704
2023-12-31 22:30:00,0.28830730342099997,0.3768593535135402,-0.08855205009254025
2023-12-31 22:45:00,0.32807219908499996,0.374391164459587,-0.04631896537458702
2023-12-31 23:00:00,0.288379177724,0.38278890131998655,-0.09440972359598654
2023-12-31 23:15:00,0.27133249992700004,0.3613513301130896,-0.09001883018608958
2023-12-31 23:30:00,0.369949588263,0.35406411863511184,0.01588546962788817
2023-12-31 23:45:00,0.349619848056,0.39892458675876086,-0.049304738702760864
2024-01-01 00:00:00,0.33799060162399996,0.35457915511868887,-0.016588553494688907
2024-01-01 00:15:00,0.332738293254,0.3411340662677278,-0.008395773013727792
2024-01-01 00:30:00,0.29631641628699995,0.33909252685197977,-0.04277611056497982
2024-01-01 00:45:00,0.248150205364,0.31274946989049734,-0.06459926452649734
2024-01-01 01:00:00,0.277078642571,0.2655365377349985,0.011542104836001488
2024-01-01 01:15:00,0.244670025555,0.28662860684098135,-0.041958581285981345
2024-01-01 01:30:00,0.256978999506,0.26397725636096514,-0.006998256854965135
2024-01-01 01:45:00,0.310878248597,0.2734027996295007,0.03747544896749927
2024-01-01 02:00:00,0.29369007478599995,0.3111995306647362,-0.017509455878736258
2024-01-01 02:15:00,0.726838750012,0.3042095515311363,0.4226291984808637
2024-01-01 02:30:00,0.536402615713,0.4509747832446195,0.08542783246838048
2024-01-01 02:45:00,0.44336087137199987,0.4849292041759343,-0.04156833280393446
2024-01-01 03:00:00,0.37389955078500003,0.4260921345979302,-0.05219258381293018
2024-01-01 03:15:00,0.38428829555199995,0.3608033807231248,0.02348491482887516
2024-01-01 03:30:00,0.5561964516160001,0.36842801209452475,0.18776843952147532
2024-01-01 03:45:00,0.585851612046,0.5106685671802621,0.0751830448657379
2024-01-01 04:00:00,0.37378338151699997,0.5074688172033424,-0.1336854356863424
2024-01-01 04:15:00,0.32443406871,0.36049403040082095,-0.03605996169082093
2024-01-01 04:30:00,0.34985054636299995,0.3076323697997845,0.04221817656321547
2024-01-01 04:45:00,0.364740923423,0.3354306147141519,0.0293103087088481
2024-01-01 05:00:00,0.36806771252599996,0.34560115699078586,0.022466555535214094
2024-01-01 05:15:00,0.26467683091099997,0.3503969965842752,-0.08572016567327523
2024-01-01 05:30:00,0.19962111188399997,0.2565021514017831,-0.056881039517783144
2024-01-01 05:45:00,0.209119881479,0.21634456773159272,-0.007224686252592705
2024-01-01 06:00:00,0.154472000985,0.2226983938225235,-0.06822639283752349
2024-01-01 06:15:00,0.15341507593899997,0.2162691764695581,-0.06285410053055812
2024-01-01 06:30:00,0.18471647426099996,0.21829394088159954,-0.03357746662059957
2024-01-01 06:45:00,0.163158682863,0.21451105667338832,-0.05135237381038832
2024-01-01 07:00:00,0.194415739958,0.21750437346566104,-0.02308863350766105
2024-01-01 07:15:00,0.196121516348,0.2258668601190219,-0.029745343771021893
2024-01-01 07:30:00,0.24942546433400004,0.22443462882438972,0.024990835509610315
2024-01-01 07:45:00,0.816914136901,0.2970629698496095,0.5198511670513906
2024-01-01 08:00:00,0.7090616729610001,0.749650778356019,-0.04058910539501892
2024-01-01 08:15:00,0.40261144102499996,0.5307315311408805,-0.1281200901158805
2024-01-01 08:30:00,0.216364682081,0.4938041435269868,-0.27743946144598686
2024-01-01 08:45:00,0.213097548865,0.2447543594907624,-0.031656810625762394
2024-01-01 09:00:00,0.20868687213800002,0.23321415654662592,-0.024527284408625893
2024-01-01 09:15:00,0.193666465922,0.23073486229903623,-0.03706839637703624
2024-01-01 09:30:00,0.226977791567,0.2197287581788895,0.007249033388110476
2024-01-01 09:45:00,0.18722183892000002,0.2590997902677961,-0.07187795134779609
2024-01-01 10:00:00,0.180243154478,0.21368474147908642,-0.03344158700108643
2024-01-01 10:15:00,0.20507944010200002,0.228450614189887,-0.02337117408788697
2024-01-01 10:30:00,0.19306806043799998,0.23294552782517944,-0.039877467387179455
2024-01-01 10:45:00,0.268991137402,0.21817540017534676,0.050815737226653224
2024-01-01 11:00:00,0.929887688554,0.31171487611162907,0.6181728124423709
2024-01-01 11:15:00,0.9404164117670002,0.9568874369688936,-0.016471025201893363
2024-01-01 11:30:00,0.9310928712939998,1.0371166593058183,-0.10602378801181855
2024-01-01 11:45:00,0.7839700151569999,0.9768654349956505,-0.19289541983865055
2024-01-01 12:00:00,0.785283906535,0.7570583575653456,0.028225548969654457
2024-01-01 12:15:00,0.7203389092620002,0.7488512412159558,-0.02851233195395564
